ProgramName,Eligibility,Duration, Semesters, TotalCreditHours
"BS in Computer Science", "HSSC (Part-I / II) with at least 50% marks with one of the following combinations: I. Pre-Engineering II. Pre-Medical (Admitted candidates have to pass 6-credit hours courses of mathematics in first two semesters.) III. General Science a. Math - Stat - Phyb. Math - Stat - Eco c. Math - Stat -  Comp  d. Math - Phy - Comp e. Math - Eco - Comp IV. A-Levels (with of the contribution of I / II / III and equivalence by IBCC) with at least 50% obtained marks", "4 Years", 8, "125-149 Credit Hours"
"BS in Artificial Intelligence", "HSSC (Part-I / II) with at least 50% marks with one of the following combinations: I. Pre-Engineering II. Pre-Medical (Admitted candidates have to pass 6-credit hours courses of mathematics in first two semesters.) III. General Science a. Mathematics - Statistics - Physics b. Mathematics - Statistics - Economics c. Mathematics - Statistics - Computer d. Mathematics - Physics - Computer e. Mathematics - Economics - Computer IV. A-Levels (with of the contribution of I / II / III and equivalence by IBCC) with at least 50% obtained marks", "4 Years", 8, "125-149 Credit Hours"
"BS in Data Science", "HSSC (Part-I / II) with at least 50% marks with one of the following combinations: I. Pre-Engineering II. Pre-Medical(Admitted candidates have to pass 6-credit hours courses of mathematics in first two semesters.) III. General Science a. Mathematics - Statistics - Physics b. Mathematics - Statistics - Economics c. Mathematics - Statistics - Computer d. Mathematics - Physics - Computer e. Mathematics - Economics - Computer IV. A-Levels (with of the contribution of I / II / III and equivalence by IBCC) with at least 50% obtained marks", "4 Years", 8, "125-149 Credit Hours"
"PhD Computer Science", "Minimum CGPA 3.0 out of 4.0 in the semester system or 1st division in annual system in MPhil/MS/equivalent degree in Computer Science or related disciplines + UOS Entry Test equivalent to HEC HAT General Test (at least 60% marks) OR HEC/HAT General Test (at least 60% marks)", "3-8 Years", "6-16", "18 Credit Hours Course Work + Dissertation"
"MS Computer Science", "Sixteen years of education including 4-years BSCS/BSIT/BSSE/ MSc IT or equivalent (at least 2.50 CGPA out of 4.00) + Departmental Test (at least 50% marks)", "2-4 Years", "4-8", "24 C/Hr. Course Work + 6 C/Hr. Thesis"
"MS Artificial Intelligence",  "Sixteen years of education including 4-years BSCS/BSIT/BSSE/BSEE/BSCE/BSAI/BSDS or equivalent (at least 2.50 CGPA out of 4.00) + Departmental Test (at least 50% marks)", "2-4 Years", "4-8", "24 C/Hr. Course Work + 6 C/Hr. Thesis"
